APS100H1 - Orientation to Engineering,APS301H1 - Technology in Society and the Biosphere I,CIV312H1 - Steel and Timber Design,CHE353H1 - Engineering Biology
APS106H1 - Fundamentals of Computer Programming,CIV201H1 - Introduction to Civil Engineering,CIV313H1 - Reinforced Concrete I,CIV300H1 - Terrestrial Energy Systems
APS111H1 - Engineering Strategies and Practice I,CIV209H1 - Civil Engineering Materials,CIV324H1 - Geotechnical Engineering II,CIV354H1 - Transportation Planning and Design
APS112H1 - Engineering Strategies & Practice II,CIV214H1 - Structural Analysis I,CIV331H1 - Transport I - Introduction to Urban Transportation Systems,CIV416H1 - Reinforced Concrete II
APS160  - Online Mechanics,CIV220H1 - Urban Engineering Ecology,CIV332H1 - Transport II - Performance,CIV420H1 - Construction Engineering
CHE112H1 - Physical Chemistry,CIV235H1 - Civil Engineering Graphics,CIV340H1 - Municipal Engineering,CIV424H1 - Foundations and Earthworks
CIV100H1 - Mechanics,CIV250H1 - Hydraulics & Hydrology,CIV342H1 - Water and Wastewater Treatment Processes,CIV440H1 - Environmental Impact and Risk Assessment
CME185H1 - Earth Systems Science,CIV280H1 - Management of Construction,CIV375H1 - Building Science,CIV477H1 - Special Studies in Civil Engineering
MAT186H1 - Calculus I,CIV282H1 - Engineering Communications I,CIV380H1 - Sustainable Energy Systems,CIV498H1 - Group Design Project
MAT187H1 - Calculus II,CME210H1 - Solid Mechanics I,CIV382Y1 - Civil Engineering Communication Portfolio,CIV499H1 - Individual Project
MAT188H1 - Linear Algebra,CME261H1 - Engineering Mathematics I,CME321H1 - Geotechnical Engineering I,CIV510H1 - Solid Mechanics II
MSE101H1 - Introduction to Materials Science,CME262H1 - Engineering Mathematics,CME358H1 - Survey Camp (Civil and Mineral Practicals),CIV514H1 - Concrete Technology
,CME263H1 - Probability Theory for Civil and Mineral Engineers,CME362H1 - Engineering Mathematics II,CIV515H1 - Introduction to Structural Dynamics
,CME270H1 - Fluid Mechanics I,CME368H1 - Engineering Economics and Decision Making,CIV516H1 - Public Transit Operations and Planning
,,CIV312H1 - Steel and Timber Design,CIV517H1 - Prestressed Concrete
,,CIV313H1 - Reinforced Concrete I,CIV518H1 - Behaviour and Design of Steel Structures
,,CIV324H1 - Geotechnical Engineering II,CIV519H1 - Structural Analysis II
,,CIV331H1 - Transport I - Introduction to Urban Transportation Systems,CIV521H1 - Rock Mechanics
,,CIV332H1 - Transport II - Performance,CIV523H1 - Geotechnical Design
,,CIV340H1 - Municipal Engineering,CIV531H1 - Transport Planning
,,CIV342H1 - Water and Wastewater Treatment Processes,CIV541H1 - Environmental Biotechnology
,,CIV375H1 - Building Science,CIV549H1 - Groundwater Flow and Contamination
,,CIV380H1 - Sustainable Energy Systems,CIV550H1 - Water Resources Engineering
,,CIV382Y1 - Civil Engineering Communication Portfolio,CIV575H1 - Studies in Building Science
,,CME321H1 - Geotechnical Engineering I,CIV576H1 - Sustainable Buildings
,,CME358H1 - Survey Camp (Civil and Mineral Practicals),CIV577H1 - Infrastructure for Sustainable Cities
,,CME362H1 - Engineering Mathematics II,CIV578H1 - Design of Building Enclosures
,,CME368H1 - Engineering Economics and Decision Making,MIE331H1 - Physiological Control Systems
,,,MIN429H1 - Engineering Rock Mechanics
,,,MIN430H1 - Mining Environmental Management
,,,MIN470H1 - Ventilation and Occupational Health
,,,MIN511H1 - Integrated Mine Waste Engineering
,,,MIN540H1 - Borehole Geophysics for Engineers and Geoscientists
,,,MSE440H1 - Biomaterial Processing and Properties