APS100H1 - Orientation to Engineering,CHE204H1 - Applied Chemistry Laboratory I,CHE311H1 - Separation Processes,BME440H1 - Biomedical Engineering Technology and Investigation
APS106H1 - Fundamentals of Computer Programming,CHE208H1 - Process Engineering,CHE322H1 - Process Dynamics and Control,BME455H1 - Cellular and Molecular Bioengineering II
APS111H1 - Engineering Strategies and Practice I,CHE210H1 - Heat and Mass Transfer,CHE323H1 - Engineering Thermodynamics,CHE341H1 - Engineering Materials
APS112H1 - Engineering Strategies & Practice II,CHE211H1 - Fluid Mechanics,CHE324H1 - Process Design,CHE403H1 - Professional Practice
APS160  - Online Mechanics,CHE213H1 - Applied Chemistry II - Organic Chemistry,CHE326H1 - Thermodynamics and Kinetics Laboratory,CHE412H1 - Advanced Reactor Design
CHE112H1 - Physical Chemistry,CHE220H1 - Applied Chemistry I - Inorganic Chemistry,CHE332H1 - Reaction Kinetics,CHE416 -
CHE113H1 - Concepts in Chemical Engineering,CHE221H1 - Calculus and Numerical Methods,CHE333H1 - Chemical Reaction Engineering,CHE416H1 - Chemical Engineering in Human Health
CIV100H1 - Mechanics,CHE222H1 - Applied Differential Equations,CHE334H1 - Team Strategies for Engineering Design,CHE430Y1 - Chemical Plant Design
MAT186H1 - Calculus I,CHE223H1 - Statistics,CHE353H1 - Engineering Biology,CHE450H1 - Bioprocess Technology and Design
MAT187H1 - Calculus II,CHE230H1 - Environmental Chemistry,CHE354H1 - Cellular and Molecular Biology,CHE451H1 - Petroleum Processing
MAT188H1 - Linear Algebra,CHE249H1 - Engineering Economic Analysis,CIV250H1 - Hydraulics & Hydrology,CHE460H1 - Environmental Pathways and Impact Assessment
MSE101H1 - Introduction to Materials Science,CHE299H1 - Communication,CIV300H1 - Terrestrial Energy Systems,CHE462H1 - Food Engineering
,,CIV342H1 - Water and Wastewater Treatment Processes,CHE467H1 - Environmental Engineering
,,CIV375H1 - Building Science,CHE469H1 - Fuel Cells and Electrochemical Conversion Devices
,,FOR310H1 - Bioenergy from Sustainable Forest Management,CHE470H1 - Special Topics in Chemical Engineering
,,MIE331H1 - Physiological Control Systems,CHE471H1 - Modelling in Biological and Chemical Systems
,,MIE364H1 - Quality Control and Improvement,CHE475H1 - Biocomposites: Mechanics and Bioinspiration
,,,CHE507H1 - Data-based Modelling for Prediction and Control
,,,CHE561H1 - Risk Based Safety Management
,,,"CHE562H1 - Applied Chemistry IV - Applied Polymer Chemistry, Science and Engineering"
,,,CHE564H1 - Pulp and Paper Processes
,,,CHE565H1 - Aqueous Process Engineering
,,,CHE566H1 - Elements of Nuclear Engineering
,,,CHE568H1 - Nuclear Engineering
,,,CHM415H1 - Topics in Atmospheric Chemistry
,,,CIV440H1 - Environmental Impact and Risk Assessment
,,,CIV549H1 - Groundwater Flow and Contamination
,,,CIV550H1 - Water Resources Engineering
,,,FOR424H1 - Sustainable Innovative Materials Design and Manufacturing
,,,FOR425H1 - Bioenergy and Biorefinery Technology
,,,MIE515H1 - Alternative Energy Systems
,,,MIE516H1 - Combustion and Fuels
,,,MIE517H1 - Fuel Cell Systems
,,,MSE440H1 - Biomaterial Processing and Properties